,z,r
1228,2.4546220560686347,0.07685362416462059
1229,2.4566185468699837,0.0769716421988101
1230,2.458615028145938,0.07708980449580181
1231,2.4606114998863786,0.0772081112434835
1232,2.462607962081098,0.07732656262975751
1233,2.464604414719803,0.07744515884254101
1234,2.466600857792112,0.07756390006976573
1235,2.468597291287559,0.07768278649937821
1236,2.4705937151955872,0.0778018183193396
1237,2.4725901295055577,0.07792099571762584
1238,2.4745865342067406,0.07804031888222743
1239,2.4765829292883224,0.0781597880011497
1240,2.4785793147393993,0.07827940326241258
1241,2.4805756905489837,0.07839916485405075
1242,2.4825720567059992,0.07851907296411356
1243,2.4845684131992836,0.07863912778066508
1244,2.4865647600175866,0.078759329491784
1245,2.488561097149573,0.07887967828556383
1246,2.4905574245838187,0.07900017435011265
1247,2.4925537423088135,0.07912081787355335
1248,2.49455005031296,0.07924160904402339
1249,2.496546348584575,0.07936254804967503
1250,2.498542637111887,0.07948363507867517
1251,2.500538915883039,0.07960487031920545
1252,2.502535184886085,0.07972625395946212
1253,2.5045314441089945,0.07984778618765624
1254,2.506527693539649,0.07996946719201345
1255,2.508523933165843,0.08009129716077419
1256,2.510520162975284,0.08021327628219349
1257,2.5125163829555937,0.0803354047445412
1258,2.514512593094305,0.08045768273610174
1259,2.516508793378866,0.0805801104451743
1260,2.5185049837966367,0.08070268806007273
1261,2.5205011643348905,0.08082541576912562
1262,2.522497334980813,0.08094829376067618
1263,2.524493495721505,0.08107132222308241
1264,2.526489646543978,0.08119450134471691
1265,2.5284857874351587,0.08131783131396705
1266,2.5304819183818856,0.08144131231923485
1267,2.532478039370911,0.08156494454893705
1268,2.5344741503889,0.08168872819150504
1269,2.5364702514224304,0.081812663435385
1270,2.5384663424579936,0.08193675046903767
1271,2.5404624234819946,0.08206098948093865
1272,2.5424584944807505,0.08218538065957805
1273,2.5444545554404923,0.08230992419346084
1274,2.546450606347363,0.08243462027110655
1275,2.5484466471874208,0.08255946908104954
1276,2.5504426779466347,0.08268447081183872
1277,2.5524386986108882,0.08280962565203784
1278,2.554434709165977,0.08293493379022521
1279,2.5564307095976115,0.08306039541499395
1280,2.5584266998914136,0.08318601071495178
1281,2.560422680032918,0.08331177987872117
1282,2.562418650007575,0.08343770309493932
1283,2.564414609800745,0.08356378055225801
1284,2.5664105593977045,0.08369001243934385
1285,2.5684064987836397,0.083816398944878
1286,2.5704024279436526,0.08394294025755646
1287,2.5723983468627574,0.0840696365660898
1288,2.5743942555258816,0.08419648805920342
1289,2.576390153917865,0.08432349492563726
1290,2.578386042023462,0.08445065735414609
1291,2.5803819198273383,0.08457797553349926
1292,2.582377787314075,0.08470544965248095
1293,2.584373644468164,0.08483307989988986
1294,2.5863694912740116,0.08496086646453957
1295,2.5883653277159366,0.08508880953525821
1296,2.590361153778172,0.08521690930088871
1297,2.5923569694448623,0.0853451659502886
1298,2.5943527747000665,0.0854735796723302
1299,2.596348569527756,0.08560215065590042
1300,2.5983443539118154,0.08573087908990099
1301,2.6003401278360423,0.08585976516324818
1302,2.6023358912841483,0.08598880906487313
1303,2.604331644239757,0.08611801098372152
1304,2.606327386686405,0.08624737110875386
1305,2.608323118607543,0.0863768896289452
1306,2.610318839986535,0.08650656673328545
1307,2.612314550806656,0.08663640261077908
1308,2.614310251051097,0.08676639745044537
1309,2.616305940702959,0.08689655144131816
1310,2.61830161974526,0.08702686477244614
1311,2.620297288160927,0.08715733763289255
1312,2.6222929459328035,0.08728797021173546
1313,2.624288593043643,0.08741876269806748
1314,2.626284229476115,0.08754971528099609
1315,2.6282798552128,0.08768082814964329
1316,2.6302754702361932,0.08781210149314594
1317,2.6322710745287017,0.08794353550065545
1318,2.6342666680726468,0.08807513036133806
1319,2.636262250850261,0.08820688626437456
1320,2.6382578228436926,0.08833880339896058
1321,2.6402533840350006,0.0884708819543063
1322,2.6422489344061586,0.08860312211963675
1323,2.6442444739390525,0.08873552408419151
1324,2.646240002615482,0.08886808803722498
1325,2.6482355204171597,0.08900081416800613
1326,2.650231027325711,0.08913370266581876
1327,2.652226523322674,0.08926675371996123
1328,2.654222008389501,0.08939996751974671
1329,2.6562174825075564,0.08953334425450298
1330,2.6582129456581196,0.08966688411357258
1331,2.66020839782238,0.08980058728631268
1332,2.662203838981443,0.08993445396209522
