,z,r
7371,13.154152442031988,1.3330144149030476
7372,13.154574890437253,1.3309744041768339
7373,13.154996149093835,1.3289340517640351
7374,13.155416219128782,1.3268933596870833
7375,13.155835101671343,1.324852329970002
7376,13.15625279785297,1.3228109646383952
7377,13.156669308807302,1.3207692657194656
7378,13.157084635670188,1.3187272352419968
7379,13.157498779579665,1.3166848752363667
7380,13.157911741675973,1.314642187734543
7381,13.15832352310155,1.3125991747700758
7382,13.158734125001029,1.310555838378111
7383,13.159143548521245,1.3085121805953828
7384,13.159551794811225,1.3064682034602089
7385,13.1599588650222,1.3044239090125032
7386,13.160364760307592,1.3023792992937628
7387,13.160769481823028,1.3003343763470765
7388,13.16117303072633,1.298289142217125
7389,13.161575408177516,1.2962435989501717
7390,13.161976615338805,1.2941977485940737
7391,13.16237665337461,1.2921515931982772
7392,13.162775523451545,1.2901051348138133
7393,13.16317322673842,1.2880583754933073
7394,13.163569764406246,1.2860113172909688
7395,13.163965137628228,1.2839639622626002
7396,13.16435934757977,1.2819163124655932
7397,13.164752395438477,1.2798683699589233
7398,13.165144282384146,1.2778201368031608
7399,13.165535009598775,1.275771615060464
7400,13.165924578266562,1.273722806794576
7401,13.1663129895739,1.2716737140708356
7402,13.166700244709379,1.269624338956163
7403,13.16708634486379,1.267574683519074
7404,13.16747129123012,1.2655247498296722
7405,13.167855085003552,1.2634745399596456
7406,13.168237727381472,1.2614240559822767
7407,13.168619219563459,1.2593732999724363
7408,13.168999562751292,1.25732227400658
7409,13.169378758148946,1.255270980162758
7410,13.169756806962598,1.2532194205206046
7411,13.170133710400618,1.251167597161346
7412,13.170509469673577,1.249115512167799
7413,13.170884085994244,1.2470631676243644
7414,13.171257560577581,1.2450105656170365
7415,13.171629894640754,1.2429577082333982
7416,13.172001089403125,1.2409045975626178
7417,13.17237114608625,1.238851235695458
7418,13.17274006591389,1.236797624724265
7419,13.173107850111998,1.234743766742977
7420,13.173474499908727,1.2326896638471248
7421,13.173840016534427,1.2306353181338197
7422,13.174204401221647,1.2285807317017685
7423,13.174567655205133,1.226525906651268
7424,13.174929779721829,1.224470845084197
7425,13.175290776010877,1.2224155491040314
7426,13.175650645313619,1.2203600208158292
7427,13.176009388873588,1.2183042623262421
7428,13.176367007936523,1.2162482757435118
7429,13.176723503750358,1.214192063177463
7430,13.177078877565222,1.2121356267395158
7431,13.177433130633446,1.2100789685426747
7432,13.177786264209555,1.2080220907015353
7433,13.178138279550273,1.2059649953322853
7434,13.178489177914525,1.2039076845526944
