,s,rp
0,0.0,0.0
1,0.002,0.001999999999997883
2,0.004,0.003999999999998416
3,0.006,0.0059999999999993635
4,0.008,0.00799999999999849
5,0.01,0.009999999999993556
6,0.012,0.011999999999982329
7,0.014,0.01399999999996193
8,0.016,0.015999999999925685
9,0.018000000000000002,0.017999999999865547
10,0.02,0.019999999999772793
11,0.022,0.021999999999633955
12,0.024,0.023999999999433478
13,0.026000000000000002,0.0259999999991551
14,0.028,0.02799999999877625
15,0.03,0.029999999998271076
16,0.032,0.03199999999761305
17,0.034,0.03399999999676819
18,0.036000000000000004,0.03599999999569786
19,0.038,0.037999999994362765
20,0.04,0.03999999999271521
21,0.042,0.04199999999070125
22,0.044,0.04399999998826631
23,0.046,0.04599999998534664
24,0.048,0.04799999998187044
25,0.05,0.0499999999777653
26,0.052000000000000005,0.051999999972949136
27,0.054,0.05399999996732979
28,0.056,0.055999999960814444
29,0.058,0.05799999995330033
30,0.06,0.0599999999446725
31,0.062,0.06199999993481514
32,0.064,0.06399999992360246
33,0.066,0.06599999991089428
34,0.068,0.06799999989654916
35,0.07,0.06999999988041593
36,0.07200000000000001,0.0719999998623268
37,0.074,0.07399999984211206
38,0.076,0.07599999981959293
39,0.078,0.07799999979457145
40,0.08,0.07999999976684721
41,0.082,0.0819999997362112
42,0.084,0.08399999970243303
43,0.08600000000000001,0.08599999966527894
44,0.088,0.0879999996245073
45,0.09,0.08999999957985295
46,0.092,0.09199999953104623
47,0.094,0.09399999947781047
48,0.096,0.0959999994198433
49,0.098,0.09799999935683663
50,0.1,0.09999999928847618
51,0.10200000000000001,0.10199999921442023
52,0.10400000000000001,0.10399999913431962
53,0.106,0.10599999904781979
54,0.108,0.10799999895453755
55,0.11,0.10999999885408004
56,0.112,0.11199999874604998
57,0.114,0.1139999986300203
58,0.116,0.1159999985055521
59,0.11800000000000001,0.1179999983722026
60,0.12,0.11999999822949865
61,0.122,0.12199999807695275
62,0.124,0.12399999791407398
63,0.126,0.12599999774034112
64,0.128,0.12799999755521524
65,0.13,0.12999999735815487
66,0.132,0.13199999714858826
67,0.134,0.1339999969259228
68,0.136,0.13599999668956378
69,0.138,0.13799999643888658
70,0.14,0.1399999961732425
71,0.14200000000000002,0.14199999589198073
72,0.14400000000000002,0.14399999559442178
73,0.146,0.14599999527985824
74,0.148,0.14799999494758084
75,0.15,0.1499999945968526
76,0.152,0.15199999422690508
77,0.154,0.15399999383696789
78,0.156,0.1559999934262442
79,0.158,0.15799999299390236
80,0.16,0.15999999253910782
81,0.162,0.161999992061002
82,0.164,0.16399999155868727
83,0.166,0.16599999103126273
84,0.168,0.16799999047780506
85,0.17,0.1699999898973488
86,0.17200000000000001,0.17199998928892382
87,0.17400000000000002,0.1739999886515399
88,0.176,0.1759999879841611
89,0.178,0.17799998728574576
90,0.18,0.17999998655523394
91,0.182,0.1819999857915174
92,0.184,0.18399998499347994
93,0.186,0.18599998415998947
94,0.188,0.18799998328986317
95,0.19,0.18999998238190768
96,0.192,0.19199998143491642
97,0.194,0.19399998044762973
98,0.196,0.19599997941877464
99,0.198,0.19799997834706706
100,0.2,0.1999999772311684
101,0.202,0.2019999760697238
102,0.20400000000000001,0.20399997486136875
103,0.20600000000000002,0.20599997360468378
104,0.20800000000000002,0.20799997229822925
105,0.21,0.20999997094055783
106,0.212,0.21199996953016698
107,0.214,0.2139999680655299
108,0.216,0.21599996654511336
109,0.218,0.21799996496732985
110,0.22,0.21999996333056285
111,0.222,0.22199996163319077
112,0.224,0.22399995987353857
113,0.226,0.22599995804989761
114,0.228,0.22799995616055518
115,0.23,0.22999995420374655
116,0.232,0.2319999521776687
117,0.234,0.23399995008051486
118,0.23600000000000002,0.23599994791042866
119,0.23800000000000002,0.23799994566551005
120,0.24,0.23999994334385555
121,0.242,0.2419999409435148
122,0.244,0.2439999384624883
123,0.246,0.24599993589877345
124,0.248,0.24799993325032324
125,0.25,0.2499999305150368
126,0.252,0.2519999276908091
127,0.254,0.2539999247754945
128,0.256,0.25599992176688835
129,0.258,0.2579999186627807
130,0.26,0.2599999154609247
131,0.262,0.2619999121590098
132,0.264,0.2639999087547183
133,0.266,0.26599990524569966
134,0.268,0.267999901629535
135,0.27,0.26999989790379647
136,0.272,0.2719998940660275
137,0.274,0.2739998901136985
138,0.276,0.2759998860442691
139,0.278,0.2779998818551735
140,0.28,0.27999987754376976
141,0.28200000000000003,0.2819998731074021
142,0.28400000000000003,0.2839998685433928
143,0.28600000000000003,0.2859998638489857
144,0.28800000000000003,0.28799985902140696
145,0.29,0.2899998540578642
146,0.292,0.29199984895548525
147,0.294,0.2939998437113752
148,0.296,0.29599983832262455
149,0.298,0.2979998327862425
150,0.3,0.29999982709921125
151,0.302,0.30199982125850083
152,0.304,0.3039998152610002
153,0.306,0.30599980910356606
154,0.308,0.30799980278304506
155,0.31,0.30999979629620394
156,0.312,0.31199978963977126
157,0.314,0.31399978281046753
158,0.316,0.31599977580493527
159,0.318,0.3179997686197723
160,0.32,0.3199997612515703
161,0.322,0.32199975369684525
162,0.324,0.32399974595206216
163,0.326,0.32599973801368076
164,0.328,0.3279997298780885
165,0.33,0.32999972154161505
166,0.332,0.33199971300058534
167,0.334,0.33399970425125625
168,0.336,0.33599969528981977
169,0.338,0.33799968611246334
170,0.34,0.3399996767153105
171,0.342,0.34199966709441393
172,0.34400000000000003,0.34399965724581993
173,0.34600000000000003,0.3459996471655174
174,0.34800000000000003,0.3479996368494163
175,0.35000000000000003,0.3499996262934206
