S,Pgauge
9.380183E+00,-1.637303E-01
9.429396E+00,-1.608124E-01
9.478649E+00,-1.581153E-01
9.527908E+00,-1.556520E-01
9.577146E+00,-1.534297E-01
9.626383E+00,-1.514497E-01
9.675603E+00,-1.497171E-01
9.724805E+00,-1.482322E-01
9.774018E+00,-1.470073E-01
9.823189E+00,-1.460558E-01
9.872374E+00,-1.453864E-01
9.921611E+00,-1.450155E-01
9.970803E+00,-1.449758E-01
1.001997E+01,-1.453130E-01
1.006922E+01,-1.460319E-01
1.011845E+01,-1.470621E-01
1.016761E+01,-1.483302E-01
1.021679E+01,-1.497118E-01
1.026597E+01,-1.511204E-01
1.031515E+01,-1.525513E-01
1.036439E+01,-1.539903E-01
1.041364E+01,-1.555407E-01
1.046281E+01,-1.571961E-01
1.051207E+01,-1.588691E-01
1.056134E+01,-1.605882E-01
1.061054E+01,-1.624596E-01
1.065976E+01,-1.647387E-01
1.070902E+01,-1.676141E-01
1.075827E+01,-1.711416E-01
1.080755E+01,-1.754934E-01
1.085679E+01,-1.808870E-01
1.090598E+01,-1.876096E-01
1.095525E+01,-1.961709E-01
1.100455E+01,-2.072219E-01
1.105377E+01,-2.215602E-01
1.110300E+01,-2.400786E-01
1.115225E+01,-2.635713E-01
1.120155E+01,-2.925423E-01
1.125086E+01,-3.270480E-01
1.130013E+01,-3.664754E-01
1.134938E+01,-4.097573E-01
1.139865E+01,-4.554796E-01
1.144795E+01,-5.020432E-01
1.149726E+01,-5.481546E-01
1.154653E+01,-5.927708E-01
1.159577E+01,-6.351156E-01
1.164501E+01,-6.747450E-01
1.169435E+01,-7.114033E-01
1.174369E+01,-7.450514E-01
1.179302E+01,-7.757409E-01
1.184230E+01,-8.033819E-01
1.189149E+01,-8.279355E-01
1.194057E+01,-8.493733E-01
1.198965E+01,-8.675822E-01
1.203876E+01,-8.825063E-01
1.208781E+01,-8.941928E-01
1.213673E+01,-9.028396E-01
1.218569E+01,-9.085068E-01
1.223473E+01,-9.113202E-01
1.228378E+01,-9.112939E-01
1.233286E+01,-9.083650E-01
1.238190E+01,-9.025978E-01
1.243099E+01,-8.939056E-01
1.248012E+01,-8.822097E-01
1.252938E+01,-8.674365E-01
1.257874E+01,-8.496879E-01
1.262811E+01,-8.292053E-01
1.267745E+01,-8.062163E-01
1.272683E+01,-7.809331E-01
1.277622E+01,-7.535124E-01
1.282558E+01,-7.240684E-01
1.287491E+01,-6.926759E-01
1.292424E+01,-6.593679E-01
1.297357E+01,-6.241570E-01
1.302298E+01,-5.870442E-01
1.307240E+01,-5.481750E-01
1.312178E+01,-5.078623E-01
1.317117E+01,-4.664519E-01
1.322060E+01,-4.242012E-01
1.327003E+01,-3.812930E-01
1.331947E+01,-3.379245E-01
1.336891E+01,-2.942425E-01
1.341831E+01,-2.503209E-01
1.346772E+01,-2.062366E-01
1.351713E+01,-1.620358E-01
1.356655E+01,-1.178487E-01
1.361597E+01,-7.397603E-02
1.366535E+01,-3.062335E-02
1.371474E+01,1.204759E-02
1.376414E+01,5.390949E-02
1.381354E+01,9.491046E-02
1.386298E+01,1.349722E-01
1.391240E+01,1.740394E-01
1.396178E+01,2.120812E-01
1.401124E+01,2.490896E-01
1.406071E+01,2.850398E-01
1.411009E+01,3.198641E-01
1.415954E+01,3.534752E-01
1.420896E+01,3.858042E-01
1.425837E+01,4.168022E-01
1.430780E+01,4.464422E-01
1.435727E+01,4.747330E-01
1.440667E+01,5.016974E-01
1.445610E+01,5.273444E-01
1.450553E+01,5.516766E-01
1.455496E+01,5.747043E-01
1.460439E+01,5.964391E-01
1.465372E+01,6.168938E-01
1.470295E+01,6.360956E-01
1.475220E+01,6.540822E-01
1.480139E+01,6.708891E-01
1.485051E+01,6.865543E-01
1.489956E+01,7.011180E-01
1.494854E+01,7.146264E-01
1.499739E+01,7.271287E-01
1.504616E+01,7.386693E-01
1.509504E+01,7.492937E-01
1.514391E+01,7.590481E-01
1.519282E+01,7.679710E-01
1.524169E+01,7.761001E-01
1.529056E+01,7.834779E-01
1.533935E+01,7.901409E-01
1.538835E+01,7.961206E-01
1.543743E+01,8.014545E-01
1.548654E+01,8.061809E-01
1.553578E+01,8.103411E-01
1.558512E+01,8.139699E-01
1.563438E+01,8.171004E-01
1.568372E+01,8.197660E-01
1.573311E+01,8.219899E-01
1.578238E+01,8.238128E-01
1.583176E+01,8.252867E-01
1.588115E+01,8.264403E-01
1.593063E+01,8.273289E-01
1.597821E+01,8.279515E-01
1.601993E+01,8.283400E-01
1.605287E+01,8.284969E-01
