s,P
0.178,0.11462583904036173
0.179,0.1146237621077636
0.18,0.11462166846379093
0.181,0.11461955359551054
0.182,0.11461741298998925
0.183,0.11461524213429386
0.184,0.11461303651549117
0.185,0.11461079162064801
0.186,0.11460850293683118
0.187,0.11460616595110751
0.188,0.11460377615054379
0.189,0.11460132902220682
0.19,0.11459882005316342
0.191,0.11459624473048043
0.192,0.11459359854122464
0.193,0.11459087697246284
0.194,0.11458807551126186
0.195,0.11458518964468853
0.196,0.11458221485980961
0.197,0.11457914690004002
0.198,0.11457598488431514
0.199,0.11457273031312216
0.2,0.1145693847368899
0.201,0.11456594970604717
0.202,0.11456242677102278
0.203,0.11455881748224554
0.20400000000000001,0.11455512339014425
0.20500000000000002,0.11455134604514774
0.20600000000000002,0.11454748699768483
0.20700000000000002,0.11454354779818429
0.20800000000000002,0.11453952999707499
0.209,0.1145354351447857
0.21,0.11453126479174526
0.211,0.11452702048838247
0.212,0.11452270378512612
0.213,0.11451831623240506
0.214,0.11451385938064808
0.215,0.114509334780284
0.216,0.11450474398174162
0.217,0.11450008853544977
0.218,0.11449536999183725
0.219,0.11449058990133287
0.22,0.11448574981436546
0.221,0.11448085128136382
0.222,0.11447589585275675
0.223,0.11447088507897309
0.224,0.11446582051044162
0.225,0.11446070369759118
0.226,0.11445553619085057
0.227,0.1144503195406486
0.228,0.11444505529741408
0.229,0.11443974501157582
0.23,0.11443439023356265
0.231,0.11442899251380338
0.232,0.11442355340272681
0.233,0.11441807445076174
0.234,0.11441255720833701
0.23500000000000001,0.11440700322588143
0.23600000000000002,0.1144014140538238
0.23700000000000002,0.11439579124259293
0.23800000000000002,0.11439013634261763
0.23900000000000002,0.11438445090432672
0.24,0.11437873647814903
0.241,0.11437299461451333
0.242,0.11436722686384848
0.243,0.11436143477658325
0.244,0.11435561990314648
0.245,0.11434978379396696
0.246,0.11434392795581177
0.247,0.11433805306206618
0.248,0.11433215903786298
0.249,0.11432624578176111
0.25,0.11432031319231947
0.251,0.11431436116809701
0.252,0.11430838960765262
0.253,0.11430239840954526
0.254,0.11429638747233382
0.255,0.11429035669457724
0.256,0.11428430597483444
0.257,0.11427823521166433
0.258,0.11427214430362582
0.259,0.11426603314927787
0.26,0.11425990164717939
0.261,0.11425374969588929
0.262,0.11424757719396651
0.263,0.11424138403996992
0.264,0.11423517013245851
0.265,0.11422893536999117
0.266,0.11422267965112683
0.267,0.11421640287442439
0.268,0.11421010493844282
0.269,0.11420378574174096
0.27,0.11419744518287782
0.271,0.11419108316041227
0.272,0.11418469957290327
0.273,0.1141782943189097
0.274,0.1141718672969905
0.275,0.11416541840570459
0.276,0.11415894754361089
0.277,0.11415245460926834
0.278,0.11414593950123585
0.279,0.11413940211807233
0.28,0.1141328423583367
0.281,0.11412626012058792
0.28200000000000003,0.11411965530338486
0.28300000000000003,0.11411302780528648
0.28400000000000003,0.11410637752485168
0.28500000000000003,0.11409970436063942
0.28600000000000003,0.11409300821120856
0.28700000000000003,0.11408628897511808
0.28800000000000003,0.11407954655092688
0.289,0.11407278083719385
0.29,0.11406599173247796
0.291,0.11405917913533813
0.292,0.11405234294433322
0.293,0.11404548305802224
0.294,0.11403859937496405
0.295,0.11403169179504537
0.296,0.11402476025735703
0.297,0.1140178047457138
0.298,0.11401082524636823
0.299,0.11400382174557289
0.3,0.11399679422958035
0.301,0.11398974268464318
0.302,0.11398266709701388
0.303,0.11397556745294507
0.304,0.11396844373868925
0.305,0.11396129594049903
0.306,0.11395412404462693
0.307,0.11394692803732552
0.308,0.11393970790484738
0.309,0.11393246363344502
0.31,0.11392519520937101
0.311,0.11391790261887795
0.312,0.11391058584821832
0.313,0.11390324488364477
0.314,0.11389587971140978
0.315,0.11388849031776596
0.316,0.11388107668896584
0.317,0.11387363881126196
0.318,0.11386617667090693
0.319,0.11385869025415322
0.32,0.11385117954725349
0.321,0.11384364453646023
0.322,0.113836085208026
0.323,0.1138285015482034
0.324,0.11382089354324497
0.325,0.11381326117940323
0.326,0.11380560444293078
0.327,0.11379792332008014
0.328,0.1137902177971039
0.329,0.11378248786025462
0.33,0.11377473349578483
0.331,0.11376695468994709
0.332,0.11375915142899397
0.333,0.11375132369917804
0.334,0.11374347148675182
0.335,0.1137355947779679
0.336,0.11372769355907882
0.337,0.11371976781633712
0.338,0.11371181753599541
0.339,0.1137038427043062
0.34,0.11369584330752207
0.341,0.11368781933189558
0.342,0.11367977076367926
0.343,0.11367169758912568
0.34400000000000003,0.11366359979148911
0.34500000000000003,0.11365547720216017
0.34600000000000003,0.1136473294319838
0.34700000000000003,0.11363915607446802
0.34800000000000003,0.11363095672312087
0.34900000000000003,0.11362273097145031
0.35000000000000003,0.11361447841296442
0.35100000000000003,0.11360619864117112
0.352,0.11359789124957849
0.353,0.11358955583169453
0.354,0.11358119198102722
0.355,0.1135727992910846
0.356,0.11356437735537465
0.357,0.11355592576740542
0.358,0.11354744412068488
0.359,0.11353893200872107
0.36,0.113530389025022
0.361,0.11352181476309563
0.362,0.11351320881645002
0.363,0.11350457077859318
0.364,0.11349590024303309
0.365,0.1134871968032778
0.366,0.11347846005283527
0.367,0.11346968958521354
0.368,0.11346088499392062
0.369,0.11345204587246452
0.37,0.11344317181435325
0.371,0.1134342624130948
0.372,0.1134253172621972
0.373,0.11341633595516847
0.374,0.11340731808551657
0.375,0.11339826324674956
0.376,0.11338917103237545
0.377,0.11338004103590221
0.378,0.1133708728508379
0.379,0.1133616660706905
0.38,0.11335242028896801
0.381,0.11334313509917844
0.382,0.11333381009482983
0.383,0.11332444486943019
0.384,0.11331503901648748
0.385,0.11330559212950975
0.386,0.11329610380200504
0.387,0.11328657362748126
0.388,0.11327700119944652
0.389,0.1132673861114088
0.39,0.11325772795687607
0.391,0.1132480263293564
0.392,0.11323828082235775
0.393,0.1132284910311309
0.394,0.11321865673174615
0.395,0.1132087780363488
0.396,0.11319885509366946
0.397,0.1131888880524387
0.398,0.11317887706138709
0.399,0.11316882226924523
0.4,0.11315872382474372
0.401,0.11314858187661313
0.402,0.11313839657358403
0.403,0.113128168064387
0.404,0.11311789649775265
0.405,0.11310758202241157
0.406,0.11309722478709433
0.40700000000000003,0.1130868249405315
0.40800000000000003,0.11307638263145367
0.40900000000000003,0.11306589800859143
0.41000000000000003,0.11305537122067538
0.41100000000000003,0.1130448024164361
0.41200000000000003,0.11303419174460415
0.41300000000000003,0.11302353935391012
0.41400000000000003,0.1130128453930846
0.41500000000000004,0.11300211001085818
0.41600000000000004,0.11299133335596143
0.417,0.11298051557712498
0.418,0.11296965682307936
0.419,0.11295875724255515
0.42,0.11294781698428295
0.421,0.11293683619699339
0.422,0.11292581502941701
0.423,0.11291475363028439
0.424,0.11290365214832611
0.425,0.11289251073227276
0.426,0.11288132953085496
0.427,0.11287010869280327
0.428,0.11285884836684824
0.429,0.1128475487017205
0.43,0.11283620984615063
0.431,0.11282483194886918
0.432,0.11281341515860677
0.433,0.11280195962409396
0.434,0.11279046549406135
0.435,0.11277893291723952
0.436,0.11276736204235907
0.437,0.11275575301815054
0.438,0.11274410599334456
0.439,0.11273242111667169
0.44,0.11272069853686252
0.441,0.1127089384026476
0.442,0.11269714086290317
0.443,0.11268530611043062
0.444,0.11267343444339448
0.445,0.11266152617543068
0.446,0.11264958162017523
0.447,0.1126376010912641
0.448,0.11262558490233324
0.449,0.11261353336701864
0.45,0.11260144679895624
0.451,0.11258932551178205
0.452,0.112577169819132
0.453,0.1125649800346421
0.454,0.1125527564719483
0.455,0.11254049944468657
0.456,0.11252820926649287
0.457,0.1125158862510032
0.458,0.11250353071185351
0.459,0.11249114296267976
0.46,0.11247872331711793
0.461,0.11246627208880401
0.462,0.11245378959137392
0.463,0.1124412761384637
0.464,0.11242873204370929
0.465,0.11241615762074662
0.466,0.11240355318321171
0.467,0.11239091904474051
0.468,0.112378255518969
0.46900000000000003,0.11236556291953316
0.47000000000000003,0.11235284156006893
0.47100000000000003,0.11234009175421229
0.47200000000000003,0.11232731381559924
0.47300000000000003,0.1123145080578657
0.47400000000000003,0.1123016747946477
0.47500000000000003,0.11228881433958114
0.47600000000000003,0.11227592700630205
0.47700000000000004,0.11226301310844637
0.47800000000000004,0.11225007295965009
0.47900000000000004,0.11223710687354917
0.48,0.11222411516377954
0.481,0.11221109814397724
0.482,0.11219805612777821
0.483,0.11218498942881842
0.484,0.11217189836073385
0.485,0.11215878323716044
0.486,0.11214564437173419
0.487,0.11213248207809105
0.488,0.112119296669867
0.489,0.11210608846069803
